source_file,source_lines,source_kind,top_level_classes,top_level_functions,phase,phase_name,target_module,target_package,target_artifacts,migration_strategy,mandatory_parity,implementation_owner,sidecar_required,initial_status,required,source_sha256,source_size_bytes,status,java_path,verified_by,notes
src/mathproofmesh/__init__.py,8,python_source,,,01,工程骨架与版本元数据,mathproofmesh-contracts,io.github.aililuola.mathproofmesh,VersionInfo.java；package-info.java；无逐行翻译,仅迁移版本元数据和包说明；不得复制 Python 包初始化副作用；版本兼容通过 VersionInfo 与基线 fixture 验证,源文件对应 Python 测试全部映射并通过；源清单状态改为 migrated 后不得遗留 required TODO,java-native,no,pending,true,b1fbf757416a905bc8d0d8a07fa5d7b8e7c2b7c8c02ac54e711c633446b40c87,313,migrated,mathproofmesh-contracts/src/main/java/io/github/aililuola/mathproofmesh/VersionInfo.java；mathproofmesh-contracts/src/main/java/io/github/aililuola/mathproofmesh/package-info.java,VersionInfoTest；VersionBaselineParityTest；Maven verify,版本元数据与包说明已迁移；未复制 Python 导入副作用
src/mathproofmesh/activity.py,838,python_source,ActivityStatus | ActivityImportance | ActivityEvent | ActivityStream | ConsoleActivityView,collapse_activity_events | redact_activity_text | sanitize_activity_value | redact_activity_value | stage_label | format_elapsed,14,REST/SSE、CLI、报告与可观测性,mathproofmesh-server,io.github.aililuola.mathproofmesh.api,ActivityStatus.java; ActivityImportance.java; ActivityEvent.java; ActivityStream.java; ConsoleActivityView.java,保持旧端点/命令兼容，新增安全状态查询；SSE 可断点；日志和活动事件严格脱敏,源文件对应 Python 测试全部映射并通过；源清单状态改为 migrated 后不得遗留 required TODO,java-native,no,pending,true,ead9c0c8997dd89a00dd493bda87fb6ab9d8d166694a2e041e1d7d0db3d8c389,31570,migrated,mathproofmesh-server/src/main/java/io/github/aililuola/mathproofmesh/api/ActivityStatus.java; mathproofmesh-server/src/main/java/io/github/aililuola/mathproofmesh/api/ActivityImportance.java; mathproofmesh-server/src/main/java/io/github/aililuola/mathproofmesh/api/ActivityEvent.java; mathproofmesh-server/src/main/java/io/github/aililuola/mathproofmesh/api/ActivitySanitizer.java; mathproofmesh-server/src/main/java/io/github/aililuola/mathproofmesh/api/ActivityStream.java; mathproofmesh-server/src/main/java/io/github/aililuola/mathproofmesh/api/ConsoleActivityView.java,"12 authority-named JUnit cases, 7 API security/streaming gates, and online/offline Maven verify","REST, resumable SSE, bounded authenticated queries, CLI, reports, metrics, trace correlation, and content redaction retain authority semantics"
src/mathproofmesh/agents.py,1869,python_source,BudgetExhaustedError | StructuredOutputError | AgentProgressError | AgentCallWallTimeoutError | AgentStreamIdleTimeoutError | ReasoningOnlyStallError | ReasoningBudgetExhaustedError | AgentFailoverExhausted | StructuredCallResult | CallLedger | StructuredAgentRunner,_reasoning_trace_secrets | split_trailing_schema_block | _two_phase_bookkeeping_block | _two_phase_format_user | extract_json_object,07,Agent Runtime、LLM 适配、预算与可靠调用,mathproofmesh-server,io.github.aililuola.mathproofmesh.agent,BudgetExhaustedError.java; StructuredOutputError.java; AgentProgressError.java; AgentCallWallTimeoutError.java; AgentStreamIdleTimeoutError.java; ReasoningOnlyStallError.java; ReasoningBudgetExhaustedError.java; AgentFailoverExhausted.java; StructuredCallResult.java; CallLedger.java; StructuredAgentRunner.java,JDK HttpClient + SSE；虚拟线程但有界并发；持久化调用状态、预算、限流、重试与熔断,源文件对应 Python 测试全部映射并通过；源清单状态改为 migrated 后不得遗留 required TODO,java-native,no,pending,true,79f309bf925156c2cc4834f1d8dba99aabcad7c6bcf00f9865327012f2508684,80457,migrated,mathproofmesh-server/src/main/java/io/github/aililuola/mathproofmesh/agent/BudgetExhaustedError.java; mathproofmesh-server/src/main/java/io/github/aililuola/mathproofmesh/agent/StructuredOutputError.java; mathproofmesh-server/src/main/java/io/github/aililuola/mathproofmesh/agent/AgentProgressError.java; mathproofmesh-server/src/main/java/io/github/aililuola/mathproofmesh/agent/AgentCallWallTimeoutError.java; mathproofmesh-server/src/main/java/io/github/aililuola/mathproofmesh/agent/AgentStreamIdleTimeoutError.java; mathproofmesh-server/src/main/java/io/github/aililuola/mathproofmesh/agent/ReasoningOnlyStallError.java; mathproofmesh-server/src/main/java/io/github/aililuola/mathproofmesh/agent/ReasoningBudgetExhaustedError.java; mathproofmesh-server/src/main/java/io/github/aililuola/mathproofmesh/provider/AgentFailoverExhausted.java; mathproofmesh-server/src/main/java/io/github/aililuola/mathproofmesh/provider/UsageTotals.java; mathproofmesh-server/src/main/java/io/github/aililuola/mathproofmesh/agent/StructuredCallResult.java; mathproofmesh-server/src/main/java/io/github/aililuola/mathproofmesh/agent/CallLedger.java; mathproofmesh-server/src/main/java/io/github/aililuola/mathproofmesh/agent/StructuredAgentRunner.java; mathproofmesh-server/src/main/java/io/github/aililuola/mathproofmesh/agent/AgentGuardPolicies.java; mathproofmesh-server/src/main/java/io/github/aililuola/mathproofmesh/agent/ReviewIsolationPolicy.java,DeepseekParityTest; ProviderAdapterFixtureTest; BoundedSseParserTest; AgentRuntimePolicyTest; StructuredAgentRunnerTest; GuardsAndContextParityTest; PoolParityTest; ReviewIsolationParityTest; TypedPromptSerializationParityTest; ProviderCallPostgresIT; Maven verify,"Five direct JDK HttpClient/mock adapters, bounded SSE, redacted structured-call artifacts, strict JSON and representation-only repair, virtual-thread concurrency, rate limiting, retry/failover, persistent circuit state, provider_call idempotency, and usage reconciliation pass"
src/mathproofmesh/broker_phase.py,78,python_source,,record_verified_message_usage,12,路线团队、调度与运行阶段,mathproofmesh-core,io.github.aililuola.mathproofmesh.orchestration,BrokerPhaseService.java,先实现数据库驱动的同步/并发应用服务，再交由 Temporal 包装；保持路线隔离和自适应调度,源文件对应 Python 测试全部映射并通过；源清单状态改为 migrated 后不得遗留 required TODO,java-native,no,pending,true,8b3ac21aec8ce6e68211fa5b28f68a738a72f3815e780267eeeac674c72ff832,3321,migrated,mathproofmesh-core/src/main/java/io/github/aililuola/mathproofmesh/orchestration/BrokerPhaseService.java,107 authority-named JUnit cases across 18 parity classes; online/offline Maven verify,"Fixed route pipeline, independent teams, committed-checkpoint CAS, bounded deep exploration, broker-only sharing, adaptive budget, and blind synthesis"
src/mathproofmesh/budget.py,1611,python_source,_AttemptEvidence | _RouteReviewEvidence | AdaptiveBudgetManager | SoftBudgetAllocator,,12,路线团队、调度与运行阶段,mathproofmesh-core,io.github.aililuola.mathproofmesh.orchestration,AttemptEvidence.java; RouteReviewEvidence.java; AdaptiveBudgetManager.java; SoftBudgetAllocator.java,先实现数据库驱动的同步/并发应用服务，再交由 Temporal 包装；保持路线隔离和自适应调度,源文件对应 Python 测试全部映射并通过；源清单状态改为 migrated 后不得遗留 required TODO,java-native,no,pending,true,fe66cad12d2881696fd48fba8572d88102ebb2ed3b96d7dc6cc13cdf58134182,63942,migrated,mathproofmesh-core/src/main/java/io/github/aililuola/mathproofmesh/orchestration/AttemptEvidence.java; mathproofmesh-core/src/main/java/io/github/aililuola/mathproofmesh/orchestration/RouteReviewEvidence.java; mathproofmesh-core/src/main/java/io/github/aililuola/mathproofmesh/orchestration/AdaptiveBudgetManager.java; mathproofmesh-core/src/main/java/io/github/aililuola/mathproofmesh/orchestration/SoftBudgetAllocator.java,107 authority-named JUnit cases across 18 parity classes; online/offline Maven verify,"Fixed route pipeline, independent teams, committed-checkpoint CAS, bounded deep exploration, broker-only sharing, adaptive budget, and blind synthesis"
src/mathproofmesh/cli.py,554,python_source,,_apply_topology_overrides | _configure_logging | _resolve_activity_mode | _run_solver_with_activity | _run_resume_with_activity | _apply_desktop_resume_context | solve | resume | demo | probe | serve_command,14,REST/SSE、CLI、报告与可观测性,mathproofmesh-server,io.github.aililuola.mathproofmesh.api,MathProofMeshCommand.java 及子命令类,保持旧端点/命令兼容，新增安全状态查询；SSE 可断点；日志和活动事件严格脱敏,源文件对应 Python 测试全部映射并通过；源清单状态改为 migrated 后不得遗留 required TODO,java-native,no,pending,true,3a1c9ae7610537565e2f42feeb89e0d7e0a8fb62014f459b10b0be1a2eadc1e9,19550,migrated,mathproofmesh-server/src/main/java/io/github/aililuola/mathproofmesh/api/MathProofMeshCommand.java,"12 authority-named JUnit cases, 7 API security/streaming gates, and online/offline Maven verify","REST, resumable SSE, bounded authenticated queries, CLI, reports, metrics, trace correlation, and content redaction retain authority semantics"
src/mathproofmesh/communication/__init__.py,7,python_source,,,05,类型化通信、路线注册与稀疏拓扑,mathproofmesh-core,io.github.aililuola.mathproofmesh.communication,package-info.java; no duplicate runtime types—use MessageBroker and RouteRegistry from their owning files,按消息准入、去重、TTL、优先级、回执和 exactly-once 领域语义重构，禁止聊天文本旁路,源文件对应 Python 测试全部映射并通过；源清单状态改为 migrated 后不得遗留 required TODO,java-native,no,pending,true,999d5809092cf595678daa1cf68a1d64507e0596acf2929c4dca31be7d5c5c62,219,migrated,mathproofmesh-core/src/main/java/io/github/aililuola/mathproofmesh/communication/package-info.java,MessageAdmissionPolicyParityTest; MessageDeliveryParityTest; RouteRegistryParityTest; SparseTopologyRouterParityTest; JdbcMessageRepositoryIT; TopologyBenchmarkTest; Maven verify,"Strict ordered admission, semantic deduplication, sparse routing, prompt-consumption exactly once, authenticated receipts, verified utility, invalidation archive and republication are covered"
src/mathproofmesh/communication/broker.py,1154,python_source,MessageBroker,delivery_key,05,类型化通信、路线注册与稀疏拓扑,mathproofmesh-core,io.github.aililuola.mathproofmesh.communication,MessageBroker.java,按消息准入、去重、TTL、优先级、回执和 exactly-once 领域语义重构，禁止聊天文本旁路,源文件对应 Python 测试全部映射并通过；源清单状态改为 migrated 后不得遗留 required TODO,java-native,no,pending,true,a5996f36a94398b1a8bdba20f588d4237dcf99c5d557f6adc03e0457a7af9b59,46732,migrated,mathproofmesh-core/src/main/java/io/github/aililuola/mathproofmesh/communication/MessageBroker.java; mathproofmesh-core/src/main/java/io/github/aililuola/mathproofmesh/communication/MessageRepository.java; mathproofmesh-server/src/main/java/io/github/aililuola/mathproofmesh/persistence/JdbcMessageRepository.java,MessageAdmissionPolicyParityTest; MessageDeliveryParityTest; RouteRegistryParityTest; SparseTopologyRouterParityTest; JdbcMessageRepositoryIT; TopologyBenchmarkTest; Maven verify,"Strict ordered admission, semantic deduplication, sparse routing, prompt-consumption exactly once, authenticated receipts, verified utility, invalidation archive and republication are covered"
src/mathproofmesh/communication/messages.py,37,python_source,,,05,类型化通信、路线注册与稀疏拓扑,mathproofmesh-core,io.github.aililuola.mathproofmesh.communication,package-info.java; no duplicate Java DTOs—stable wire types remain in mathproofmesh-contracts,按消息准入、去重、TTL、优先级、回执和 exactly-once 领域语义重构，禁止聊天文本旁路,源文件对应 Python 测试全部映射并通过；源清单状态改为 migrated 后不得遗留 required TODO,java-native,no,pending,true,32057d6432ff3f69ede9554eefdafc0d7e44f8e2117f9727e21a6b97b099e34f,719,migrated,mathproofmesh-contracts/src/main/java/io/github/aililuola/mathproofmesh/contract/MessageEnvelope.java; mathproofmesh-core/src/main/java/io/github/aililuola/mathproofmesh/communication/package-info.java,MessageAdmissionPolicyParityTest; MessageDeliveryParityTest; RouteRegistryParityTest; SparseTopologyRouterParityTest; JdbcMessageRepositoryIT; TopologyBenchmarkTest; Maven verify,"Strict ordered admission, semantic deduplication, sparse routing, prompt-consumption exactly once, authenticated receipts, verified utility, invalidation archive and republication are covered"
src/mathproofmesh/communication/policies.py,127,python_source,GateResult,validate_evidence_tier | cross_route_share_allowed | validate_artifact_refs,05,类型化通信、路线注册与稀疏拓扑,mathproofmesh-core,io.github.aililuola.mathproofmesh.communication,GateResult.java,按消息准入、去重、TTL、优先级、回执和 exactly-once 领域语义重构，禁止聊天文本旁路,源文件对应 Python 测试全部映射并通过；源清单状态改为 migrated 后不得遗留 required TODO,java-native,no,pending,true,6027ade03bf22c4f6ace1f452589cf062e1192e9b1b403f6388767bbed7883d2,4933,migrated,mathproofmesh-core/src/main/java/io/github/aililuola/mathproofmesh/communication/MessageAdmissionPolicy.java; mathproofmesh-core/src/main/java/io/github/aililuola/mathproofmesh/communication/AdmissionResult.java,MessageAdmissionPolicyParityTest; MessageDeliveryParityTest; RouteRegistryParityTest; SparseTopologyRouterParityTest; JdbcMessageRepositoryIT; TopologyBenchmarkTest; Maven verify,"Strict ordered admission, semantic deduplication, sparse routing, prompt-consumption exactly once, authenticated receipts, verified utility, invalidation archive and republication are covered"
