source_file,source_lines,source_kind,top_level_classes,top_level_functions,phase,phase_name,target_module,target_package,target_artifacts,migration_strategy,mandatory_parity,implementation_owner,sidecar_required,initial_status,required
src/mathproofmesh/__init__.py,8,python_source,,,01,工程骨架与版本元数据,mathproofmesh-contracts,io.github.aililuola.mathproofmesh,VersionInfo.java；package-info.java；无逐行翻译,仅迁移版本元数据和包说明；不得复制 Python 包初始化副作用；版本兼容通过 VersionInfo 与基线 fixture 验证,源文件对应 Python 测试全部映射并通过；源清单状态改为 migrated 后不得遗留 required TODO,java-native,no,pending,true
src/mathproofmesh/activity.py,838,python_source,ActivityStatus | ActivityImportance | ActivityEvent | ActivityStream | ConsoleActivityView,collapse_activity_events | redact_activity_text | sanitize_activity_value | redact_activity_value | stage_label | format_elapsed,14,REST/SSE、CLI、报告与可观测性,mathproofmesh-server,io.github.aililuola.mathproofmesh.api,ActivityStatus.java; ActivityImportance.java; ActivityEvent.java; ActivityStream.java; ConsoleActivityView.java,保持旧端点/命令兼容，新增安全状态查询；SSE 可断点；日志和活动事件严格脱敏,源文件对应 Python 测试全部映射并通过；源清单状态改为 migrated 后不得遗留 required TODO,java-native,no,pending,true
src/mathproofmesh/agents.py,1869,python_source,BudgetExhaustedError | StructuredOutputError | AgentProgressError | AgentCallWallTimeoutError | AgentStreamIdleTimeoutError | ReasoningOnlyStallError | ReasoningBudgetExhaustedError | AgentFailoverExhausted | StructuredCallResult | CallLedger | StructuredAgentRunner,_reasoning_trace_secrets | split_trailing_schema_block | _two_phase_bookkeeping_block | _two_phase_format_user | extract_json_object,07,Agent Runtime、LLM 适配、预算与可靠调用,mathproofmesh-server,io.github.aililuola.mathproofmesh.agent,BudgetExhaustedError.java; StructuredOutputError.java; AgentProgressError.java; AgentCallWallTimeoutError.java; AgentStreamIdleTimeoutError.java; ReasoningOnlyStallError.java; ReasoningBudgetExhaustedError.java; AgentFailoverExhausted.java; StructuredCallResult.java; CallLedger.java; StructuredAgentRunner.java,JDK HttpClient + SSE；虚拟线程但有界并发；持久化调用状态、预算、限流、重试与熔断,源文件对应 Python 测试全部映射并通过；源清单状态改为 migrated 后不得遗留 required TODO,java-native,no,pending,true
src/mathproofmesh/broker_phase.py,78,python_source,,record_verified_message_usage,12,路线团队、调度与运行阶段,mathproofmesh-core,io.github.aililuola.mathproofmesh.orchestration,BrokerPhaseService.java,先实现数据库驱动的同步/并发应用服务，再交由 Temporal 包装；保持路线隔离和自适应调度,源文件对应 Python 测试全部映射并通过；源清单状态改为 migrated 后不得遗留 required TODO,java-native,no,pending,true
src/mathproofmesh/budget.py,1611,python_source,_AttemptEvidence | _RouteReviewEvidence | AdaptiveBudgetManager | SoftBudgetAllocator,,12,路线团队、调度与运行阶段,mathproofmesh-core,io.github.aililuola.mathproofmesh.orchestration,AttemptEvidence.java; RouteReviewEvidence.java; AdaptiveBudgetManager.java; SoftBudgetAllocator.java,先实现数据库驱动的同步/并发应用服务，再交由 Temporal 包装；保持路线隔离和自适应调度,源文件对应 Python 测试全部映射并通过；源清单状态改为 migrated 后不得遗留 required TODO,java-native,no,pending,true
src/mathproofmesh/cli.py,554,python_source,,_apply_topology_overrides | _configure_logging | _resolve_activity_mode | _run_solver_with_activity | _run_resume_with_activity | _apply_desktop_resume_context | solve | resume | demo | probe | serve_command,14,REST/SSE、CLI、报告与可观测性,mathproofmesh-server,io.github.aililuola.mathproofmesh.api,MathProofMeshCommand.java 及子命令类,保持旧端点/命令兼容，新增安全状态查询；SSE 可断点；日志和活动事件严格脱敏,源文件对应 Python 测试全部映射并通过；源清单状态改为 migrated 后不得遗留 required TODO,java-native,no,pending,true
src/mathproofmesh/communication/__init__.py,7,python_source,,,05,类型化通信、路线注册与稀疏拓扑,mathproofmesh-core,io.github.aililuola.mathproofmesh.communication,package-info.java; no duplicate runtime types—use MessageBroker and RouteRegistry from their owning files,按消息准入、去重、TTL、优先级、回执和 exactly-once 领域语义重构，禁止聊天文本旁路,源文件对应 Python 测试全部映射并通过；源清单状态改为 migrated 后不得遗留 required TODO,java-native,no,pending,true
src/mathproofmesh/communication/broker.py,1154,python_source,MessageBroker,delivery_key,05,类型化通信、路线注册与稀疏拓扑,mathproofmesh-core,io.github.aililuola.mathproofmesh.communication,MessageBroker.java,按消息准入、去重、TTL、优先级、回执和 exactly-once 领域语义重构，禁止聊天文本旁路,源文件对应 Python 测试全部映射并通过；源清单状态改为 migrated 后不得遗留 required TODO,java-native,no,pending,true
src/mathproofmesh/communication/messages.py,37,python_source,,,05,类型化通信、路线注册与稀疏拓扑,mathproofmesh-core,io.github.aililuola.mathproofmesh.communication,package-info.java; no duplicate Java DTOs—stable wire types remain in mathproofmesh-contracts,按消息准入、去重、TTL、优先级、回执和 exactly-once 领域语义重构，禁止聊天文本旁路,源文件对应 Python 测试全部映射并通过；源清单状态改为 migrated 后不得遗留 required TODO,java-native,no,pending,true
src/mathproofmesh/communication/policies.py,127,python_source,GateResult,validate_evidence_tier | cross_route_share_allowed | validate_artifact_refs,05,类型化通信、路线注册与稀疏拓扑,mathproofmesh-core,io.github.aililuola.mathproofmesh.communication,GateResult.java,按消息准入、去重、TTL、优先级、回执和 exactly-once 领域语义重构，禁止聊天文本旁路,源文件对应 Python 测试全部映射并通过；源清单状态改为 migrated 后不得遗留 required TODO,java-native,no,pending,true
src/mathproofmesh/communication/receipts.py,66,python_source,,build_receipt,05,类型化通信、路线注册与稀疏拓扑,mathproofmesh-core,io.github.aililuola.mathproofmesh.communication,ReceiptsFunctions.java,按消息准入、去重、TTL、优先级、回执和 exactly-once 领域语义重构，禁止聊天文本旁路,源文件对应 Python 测试全部映射并通过；源清单状态改为 migrated 后不得遗留 required TODO,java-native,no,pending,true
src/mathproofmesh/communication/route_registry.py,431,python_source,RouteRegistry,,05,类型化通信、路线注册与稀疏拓扑,mathproofmesh-core,io.github.aililuola.mathproofmesh.communication,RouteRegistry.java,按消息准入、去重、TTL、优先级、回执和 exactly-once 领域语义重构，禁止聊天文本旁路,源文件对应 Python 测试全部映射并通过；源清单状态改为 migrated 后不得遗留 required TODO,java-native,no,pending,true
src/mathproofmesh/computation/__init__.py,11,python_source,,,08,计算引擎与受限 Python 侧车,mathproofmesh-core / python-compute-service,io.github.aililuola.mathproofmesh.computation,package-info.java; ComputationServiceRegistry.java,原生 Java 完整迁移；保持确定性输出、证书和边界行为；不得为方便而转发整个处理器到 Python,源文件对应 Python 测试全部映射并通过；源清单状态改为 migrated 后不得遗留 required TODO,java-native,no,pending,true
