source_file,file_kind,source_size_bytes,source_sha256,phase,phase_name,target_path,disposition,required_action,parity_gate,initial_status,required
.env.example,configuration,407,66f1068ce43817a63fb453a2b4e12ef4de210d3e2732e801733b481edc1c0971,03,配置、Profile 与秘密管理,.env.local.example,copy-and-redact-template,复制变量名称和注释，但删除/替换任何真实值；补充数据库、Temporal、Bearer token 和侧车安全变量；同时保存只读基线副本,模板不含真实 secret；变量覆盖原 Provider/desktop 能力；严格配置测试通过,pending,true
.github/workflows/ci.yml,ci,632,ab1d95cbe0fdb3efa58c3de181efa1b6975c947bc03e37a0482d5912f042527f,17,文档、CI、发布与最终验收,ci/github-actions-workflow-template.yml,rewrite-as-standalone-template,保留原 CI 意图并重写为 Java 25/Maven Wrapper/PostgreSQL/Temporal/sidecar 流水线。因写入边界禁止修改工作树根 `.github`，只生成可供用户后续复制的模板,模板经 actionlint 或等价 YAML 校验；包含 verify、security、SBOM、package；未写入目标外路径,pending,true
.gitignore,project_metadata,205,f39c3ae1f16d7e1af50197c06dac55879a4ab197f12937478157785befbd2889,01,工程骨架与安全构建,.gitignore,merge-and-harden,以原忽略规则为输入，生成 Java/Maven/Docker/Temporal/Postgres/Python sidecar/secret/desktop packaging 完整忽略规则,target、数据库卷、Temporal 数据、.env、密钥、raw provider output 和运行输出均被忽略,pending,true
BUILD_INFO.json,baseline_metadata,11318,583da2312f064c47dcb5b8b8a4efad50988312212acfd0bce4542f5954c183b7,00,基线、库存与环境预检,migration/baseline/BUILD_INFO.json,byte-for-byte-copy,按字节复制并在 BASELINE.json 中引用；不得把其中版本计数当作比直接库存更高的权威,SHA-256 完全一致；版本 0.8.2、759 passed 与计数差异被报告,pending,true
LICENSE,license,1083,1e2ed19e10224e2cd6674f0377a6ea1ede3aed8866dd498409320821ea55f139,01,工程骨架与安全构建,LICENSE,byte-for-byte-copy,按字节复制 MIT 许可证；NOTICE 说明 Python 侧车和第三方依赖许可证,SHA-256 完全一致；发布包包含 LICENSE/NOTICE/SBOM,pending,true
README.md,documentation,39276,19c7d4e05f192f06a32d7735497b8b4bbd7bb10ba2f002b6e45a73ca54823602,17,文档、CI、发布与最终验收,migration/baseline/auxiliary/README.md; README.md,copy-reference-and-rewrite,保留原 README 只读副本，并编写 Java 版安装、运行、架构、SQL、Temporal、Provider、桌面与迁移说明,旧 README SHA 一致；新 README 可在干净环境按步骤启动 Mock 全流程,pending,true
RELEASE_NOTES_0.3.1.md,release_notes,1902,f5593e4c86a8baf30644609bfd566d83b3dcb58c44b3524130ffcae5a59c53ff,16,旧版本兼容与差分验证,docs/legacy/python-release-notes/RELEASE_NOTES_0.3.1.md,byte-for-byte-copy,保留旧版本发布说明供 checkpoint/schema 迁移审计；Java 新版本另写 CHANGELOG.md,SHA-256 完全一致；兼容文档引用相关版本变化,pending,true
RELEASE_NOTES_0.5.0.md,release_notes,2984,6691f07c39c7e993c8a5ab33e29c85b3356b7765702556ce12714a2512dc03c8,16,旧版本兼容与差分验证,docs/legacy/python-release-notes/RELEASE_NOTES_0.5.0.md,byte-for-byte-copy,保留旧版本发布说明供 checkpoint/schema 迁移审计；Java 新版本另写 CHANGELOG.md,SHA-256 完全一致；兼容文档引用相关版本变化,pending,true
RELEASE_NOTES_0.5.1.md,release_notes,4129,0ef2c8f013c993f153cfb0e4210a0efa66ff70b7f996c43f67d3572e6e8e3830,16,旧版本兼容与差分验证,docs/legacy/python-release-notes/RELEASE_NOTES_0.5.1.md,byte-for-byte-copy,保留旧版本发布说明供 checkpoint/schema 迁移审计；Java 新版本另写 CHANGELOG.md,SHA-256 完全一致；兼容文档引用相关版本变化,pending,true
RELEASE_NOTES_0.6.0.md,release_notes,2355,a74ce0cd711220d3419ff85e563207defc1214370986f681449190e97dcb63b0,16,旧版本兼容与差分验证,docs/legacy/python-release-notes/RELEASE_NOTES_0.6.0.md,byte-for-byte-copy,保留旧版本发布说明供 checkpoint/schema 迁移审计；Java 新版本另写 CHANGELOG.md,SHA-256 完全一致；兼容文档引用相关版本变化,pending,true
RELEASE_NOTES_0.7.0.md,release_notes,23626,1c11ede2d408b1a934b62436d38d46302fe9eb7602e41dc48b8896dacf6319d8,16,旧版本兼容与差分验证,docs/legacy/python-release-notes/RELEASE_NOTES_0.7.0.md,byte-for-byte-copy,保留旧版本发布说明供 checkpoint/schema 迁移审计；Java 新版本另写 CHANGELOG.md,SHA-256 完全一致；兼容文档引用相关版本变化,pending,true
RELEASE_NOTES_0.8.0.md,release_notes,2106,a0a0fb91739c82cafabeb89aa1e7ec9a4ce8c3a09bc96b9d27b89de603f64096,16,旧版本兼容与差分验证,docs/legacy/python-release-notes/RELEASE_NOTES_0.8.0.md,byte-for-byte-copy,保留旧版本发布说明供 checkpoint/schema 迁移审计；Java 新版本另写 CHANGELOG.md,SHA-256 完全一致；兼容文档引用相关版本变化,pending,true
RELEASE_NOTES_0.8.1.md,release_notes,3102,33fdc3d3d21264b08722df05fd3eeee59e63c41ab8aa762679fb07e560ec86b9,16,旧版本兼容与差分验证,docs/legacy/python-release-notes/RELEASE_NOTES_0.8.1.md,byte-for-byte-copy,保留旧版本发布说明供 checkpoint/schema 迁移审计；Java 新版本另写 CHANGELOG.md,SHA-256 完全一致；兼容文档引用相关版本变化,pending,true
RELEASE_NOTES_0.8.2.md,release_notes,4091,6867dc41d65de53636f61cd90aba7b9f505cc17f3a0f3588bb566bc5566abc90,16,旧版本兼容与差分验证,docs/legacy/python-release-notes/RELEASE_NOTES_0.8.2.md,byte-for-byte-copy,保留旧版本发布说明供 checkpoint/schema 迁移审计；Java 新版本另写 CHANGELOG.md,SHA-256 完全一致；兼容文档引用相关版本变化,pending,true
benchmarks/__init__.py,benchmark_support,53,ae15411da7c80562dc90daf6ceb45b36e72a47eb8ecb6479c6b1a48362b4c639,00,基线、库存与环境预检,migration/baseline/auxiliary/benchmarks/__init__.py,baseline-only,按字节保存以完成库存；Java 无包初始化副作用，不生成运行时代码,SHA-256 一致；无生产依赖,pending,true
benchmarks/analogy_library.jsonl,benchmark_fixture,2365,01a4d209de6ea708370ea9e1530a789f13161e6f6c388b033b9f858e4e06bad0,11,Inspiration Engine,mathproofmesh-compatibility/src/test/resources/benchmarks/analogy_library.jsonl,byte-for-byte-test-resource,复制为跨语言 analogy fixture；Java 只读解析并保持记录顺序,SHA-256 和记录数一致；Inspiration 差分测试通过,pending,true
benchmarks/proof_control/README.md,benchmark_documentation,886,4b21001c294379fab3350df2e55361d69eb181d9fc5cbc8a2224203f6b462a83,10,Proof Control,migration/baseline/auxiliary/benchmarks/proof_control/README.md; docs/benchmarks/proof_control/README.md,copy-reference-and-rewrite,保留旧说明并编写 Java 运行命令、输入、指标和零 Provider 调用约束,旧 SHA 一致；新命令可执行并生成报告,pending,true
benchmarks/proof_control/__init__.py,benchmark_support,53,cc5b747bdb2c8e7c1dd49b9ccad0f1eed5019cd5d38e5102f27cfc1bf6eaf10e,00,基线、库存与环境预检,migration/baseline/auxiliary/benchmarks/proof_control/__init__.py,baseline-only,按字节保存以完成库存；Java 无包初始化副作用，不生成运行时代码,SHA-256 一致；无生产依赖,pending,true
benchmarks/proof_control/abstract_realizer_repair.json,benchmark_fixture,468,239454fb4bdcaf9a077765513a6c1b5e84f90fd222477573739874c31c28840a,10,Proof Control,mathproofmesh-compatibility/src/test/resources/benchmarks/proof_control/abstract_realizer_repair.json,byte-for-byte-test-resource,按字节复制为差分和回归 fixture；结果文件仅作为基线，不可冒充本次运行结果,SHA-256 一致；Java fixture parser 严格读取；对应 benchmark 通过,pending,true
benchmarks/proof_control/bounded_gap_nonperiodic.json,benchmark_fixture,411,ab9d18fbbf89003f829a237100328618e50cf0ca79ae2353ab14f0d81a70942b,10,Proof Control,mathproofmesh-compatibility/src/test/resources/benchmarks/proof_control/bounded_gap_nonperiodic.json,byte-for-byte-test-resource,按字节复制为差分和回归 fixture；结果文件仅作为基线，不可冒充本次运行结果,SHA-256 一致；Java fixture parser 严格读取；对应 benchmark 通过,pending,true
benchmarks/proof_control/common_mode_assumption.json,benchmark_fixture,288,0dcbdd81d7b10ebf8a322a2e9fe3289897c13625080a2982c115396c712f180b,10,Proof Control,mathproofmesh-compatibility/src/test/resources/benchmarks/proof_control/common_mode_assumption.json,byte-for-byte-test-resource,按字节复制为差分和回归 fixture；结果文件仅作为基线，不可冒充本次运行结果,SHA-256 一致；Java fixture parser 严格读取；对应 benchmark 通过,pending,true
benchmarks/proof_control/eventual_to_global.json,benchmark_fixture,268,4e9335c3ad96c126c1fcd5034ce656ba20b8cee8394aa01ab88c5cea10ff249e,10,Proof Control,mathproofmesh-compatibility/src/test/resources/benchmarks/proof_control/eventual_to_global.json,byte-for-byte-test-resource,按字节复制为差分和回归 fixture；结果文件仅作为基线，不可冒充本次运行结果,SHA-256 一致；Java fixture parser 严格读取；对应 benchmark 通过,pending,true
benchmarks/proof_control/image_inclusion_not_surjective.json,benchmark_fixture,300,a30365307bad12b46ae43b2776802c18e0ef8fe0cfc936fc6807fde5111950aa,10,Proof Control,mathproofmesh-compatibility/src/test/resources/benchmarks/proof_control/image_inclusion_not_surjective.json,byte-for-byte-test-resource,按字节复制为差分和回归 fixture；结果文件仅作为基线，不可冒充本次运行结果,SHA-256 一致；Java fixture parser 严格读取；对应 benchmark 通过,pending,true
benchmarks/proof_control/message_without_use.json,benchmark_fixture,249,aa717ca65043ed4d856f51ec9d43218406e6baad39b785ddce323e332c54cfa2,10,Proof Control,mathproofmesh-compatibility/src/test/resources/benchmarks/proof_control/message_without_use.json,byte-for-byte-test-resource,按字节复制为差分和回归 fixture；结果文件仅作为基线，不可冒充本次运行结果,SHA-256 一致；Java fixture parser 严格读取；对应 benchmark 通过,pending,true
benchmarks/proof_control/obligation_compression.json,benchmark_fixture,256,253fcc04d331019b3548abb0a4794bc5d9115107ef5387f06c547e210dad9069,10,Proof Control,mathproofmesh-compatibility/src/test/resources/benchmarks/proof_control/obligation_compression.json,byte-for-byte-test-resource,按字节复制为差分和回归 fixture；结果文件仅作为基线，不可冒充本次运行结果,SHA-256 一致；Java fixture parser 严格读取；对应 benchmark 通过,pending,true
benchmarks/proof_control/occurrence_induction.json,benchmark_fixture,328,f5d7990b38b51e0ad069ab93996c093d770fd131a272c9fe934f5f76b64637f9,10,Proof Control,mathproofmesh-compatibility/src/test/resources/benchmarks/proof_control/occurrence_induction.json,byte-for-byte-test-resource,按字节复制为差分和回归 fixture；结果文件仅作为基线，不可冒充本次运行结果,SHA-256 一致；Java fixture parser 严格读取；对应 benchmark 通过,pending,true
benchmarks/proof_control/overstrong_target.json,benchmark_fixture,260,fd01b823edde03e71fdef99fa2fcf7209c2d1c5ac42ef7d67dd0e813d5e363e7,10,Proof Control,mathproofmesh-compatibility/src/test/resources/benchmarks/proof_control/overstrong_target.json,byte-for-byte-test-resource,按字节复制为差分和回归 fixture；结果文件仅作为基线，不可冒充本次运行结果,SHA-256 一致；Java fixture parser 严格读取；对应 benchmark 通过,pending,true
benchmarks/proof_control/projection_information_loss.json,benchmark_fixture,296,4a07ee62ada388f0db6381c5041e881c49083bc73a1b1661a8fb9cbb6e6a9473,10,Proof Control,mathproofmesh-compatibility/src/test/resources/benchmarks/proof_control/projection_information_loss.json,byte-for-byte-test-resource,按字节复制为差分和回归 fixture；结果文件仅作为基线，不可冒充本次运行结果,SHA-256 一致；Java fixture parser 严格读取；对应 benchmark 通过,pending,true
